"country","gii_rank","gii","mat_mort","adol_birth","rep_parl","secedu_f","secedu_m","lab_f","lab_m","secedu_f.ratio","lab_f.ratio","hdi_rank","hdi","life_exp","edu_exp","edu_now","gni_cpta","gni_hdi_rank"
"United Kingdom",14,0.177,8,25.8,23.5,99.8,99.9,55.7,68.7,0.999,0.8108,14,0.907,80.7,16.2,13.1,"39,267",9
"United States",8,0.28,28,31,19.4,95.1,94.8,56.3,68.9,1.0032,0.8171,8,0.915,79.1,16.5,12.9,"52,947",3
"Uruguay",52,0.313,14,58.3,11.5,54.4,50.3,55.6,76.8,1.0815,0.724,52,0.793,77.2,15.5,8.5,"19,283",7
"Uzbekistan",114,NA,36,38.8,16.4,NA,NA,48.1,75.6,NA,0.6362,114,0.675,68.4,11.5,10.9,"5,567",10
"Vanuatu",134,NA,86,44.8,0,NA,NA,61.5,80,NA,0.7688,134,0.594,71.9,10.6,6.8,"2,803",19
"Venezuela (Bolivarian Republic of)",71,0.476,110,83.2,17,56.6,50.8,51.1,79.2,1.1142,0.6452,71,0.762,74.2,14.2,8.9,"16,159",-2
"Viet Nam",116,0.308,49,29,24.3,59.4,71.2,73,82.2,0.8343,0.8881,116,0.666,75.8,11.9,7.5,"5,092",15
"World",NA,0.449,210,47.4,21.8,54.5,65.4,50.3,76.7,0.8333,0.6558,NA,0.711,71.5,12.2,7.9,"14,301",NA
"Yemen",160,0.744,270,47,0.7,8.6,26.7,25.4,72.2,0.3221,0.3518,160,0.498,63.8,9.2,2.6,"3,519",-17
"Zambia",139,0.587,280,125.4,12.7,25.8,44,73.1,85.6,0.5864,0.854,139,0.586,60.1,13.5,6.6,"3,734",2
"Zimbabwe",155,0.504,470,60.3,35.1,48.7,62,83.2,89.7,0.7855,0.9275,155,0.509,57.5,10.9,7.3,"1,615",13
